ADM_NM,GU_NM,n_cells,avg_urgency,avg_composite,avg_airspace,avg_obstacle,avg_noise,avg_terrain,avg_weather,pct_feasible
고등동,수정구,171,0.105,0.0,0.0,0.987,0.966,1.0,0.8,0.0
구미1동,분당구,51,0.279,0.652,1.0,0.882,0.914,1.0,0.8,100.0
구미동,분당구,51,0.423,0.55,1.0,0.753,0.908,1.0,0.8,100.0
금곡동,분당구,80,0.285,0.277,0.462,0.872,0.934,1.0,0.8,46.25
금광1동,중원구,8,0.114,0.0,0.0,0.694,0.743,1.0,0.8,0.0
금광2동,중원구,17,0.156,0.0,0.0,0.748,0.678,1.0,0.8,0.0
단대동,수정구,11,0.059,0.0,0.0,0.817,0.69,1.0,0.8,0.0
도촌동,중원구,128,0.156,0.0,0.0,0.966,0.946,1.0,0.8,0.0
백현동,분당구,27,0.302,0.0,0.0,0.757,0.868,1.0,0.8,0.0
복정동,수정구,48,0.14,0.0,0.0,0.779,0.907,1.0,0.8,0.0
분당동,분당구,48,0.082,0.181,0.229,0.903,0.91,1.0,0.8,22.917
산성동,수정구,8,0.042,0.0,0.0,0.759,0.617,1.0,0.8,0.0
삼평동,분당구,39,0.668,0.0,0.0,0.592,0.912,1.0,0.8,0.0
상대원1동,중원구,90,0.215,0.0,0.0,0.774,0.918,1.0,0.8,0.0
상대원2동,중원구,7,0.033,0.0,0.0,0.737,0.614,1.0,0.8,0.0
상대원3동,중원구,5,0.037,0.0,0.0,0.807,0.502,1.0,0.8,0.0
서현1동,분당구,99,0.856,0.0,0.0,0.9,0.941,1.0,0.8,0.0
서현2동,분당구,11,0.142,0.0,0.0,0.769,0.81,1.0,0.8,0.0
성남동,중원구,28,0.443,0.0,0.0,0.688,0.7,1.0,0.8,0.0
수내1동,분당구,14,0.601,0.0,0.0,0.506,0.912,1.0,0.8,0.0
수내2동,분당구,10,0.041,0.0,0.0,0.738,0.927,1.0,0.8,0.0
수내3동,분당구,16,0.078,0.247,0.312,0.869,0.869,1.0,0.8,31.25
수진1동,수정구,5,0.059,0.0,0.0,0.772,0.502,1.0,0.8,0.0
수진2동,수정구,12,0.129,0.0,0.0,0.679,0.705,1.0,0.8,0.0
시흥동,수정구,178,0.185,0.0,0.0,0.933,0.95,1.0,0.8,0.0
신촌동,수정구,68,0.012,0.0,0.0,0.992,0.952,1.0,0.8,0.0
신흥1동,수정구,4,0.064,0.0,0.0,0.803,0.501,1.0,0.8,0.0
신흥2동,수정구,14,0.137,0.0,0.0,0.725,0.854,1.0,0.8,0.0
신흥3동,수정구,5,0.122,0.0,0.0,0.72,0.503,1.0,0.8,0.0
야탑1동,분당구,16,0.491,0.0,0.0,0.666,0.81,1.0,0.8,0.0
야탑2동,분당구,9,0.083,0.0,0.0,0.806,0.847,1.0,0.8,0.0
야탑3동,분당구,70,0.157,0.0,0.0,0.891,0.927,1.0,0.8,0.0
양지동,수정구,17,0.045,0.0,0.0,0.902,0.853,1.0,0.8,0.0
운중동,분당구,241,0.245,0.256,0.336,0.956,0.952,1.0,0.8,33.61
위례동,수정구,43,0.433,0.0,0.0,0.762,0.892,1.0,0.8,0.0
은행1동,중원구,4,0.002,0.0,0.0,0.847,0.614,1.0,0.8,0.0
은행2동,중원구,33,0.132,0.0,0.0,0.942,0.877,1.0,0.8,0.0
이매1동,분당구,42,0.154,0.0,0.0,0.9,0.889,1.0,0.8,0.0
이매2동,분당구,7,0.042,0.0,0.0,0.9,0.865,1.0,0.8,0.0
정자1동,분당구,18,0.538,0.044,0.167,0.47,0.938,1.0,0.8,16.667
정자2동,분당구,7,0.055,0.0,0.0,0.825,0.838,1.0,0.8,0.0
정자3동,분당구,27,0.259,0.532,0.852,0.854,0.908,1.0,0.8,85.185
정자동,분당구,16,0.169,0.035,0.125,0.628,0.751,1.0,0.8,12.5
중앙동,중원구,10,0.065,0.0,0.0,0.86,0.594,1.0,0.8,0.0
태평1동,수정구,21,0.12,0.0,0.0,0.933,0.785,1.0,0.8,0.0
태평2동,수정구,7,0.067,0.0,0.0,0.888,0.586,1.0,0.8,0.0
태평3동,수정구,4,0.1,0.0,0.0,0.781,0.502,1.0,0.8,0.0
태평4동,수정구,5,0.229,0.0,0.0,0.72,0.602,1.0,0.8,0.0
판교동,분당구,63,0.151,0.0,0.0,0.919,0.886,1.0,0.8,0.0
하대원동,중원구,34,0.1,0.0,0.0,0.853,0.84,1.0,0.8,0.0
