SHP_ADM_CD,CSV_ADMI_CD,GU_NM,DONG_NM
31021650,41131640,수정구,고등동
31023720,41135665,분당구,구미1동
31023670,41135670,분당구,구미동
31023710,41135662,분당구,금곡동
31022530,41133530,중원구,금광1동
31022540,41133540,중원구,금광2동
31021600,41131590,수정구,단대동
31022610,41133670,중원구,도촌동
31023760,41135657,분당구,백현동
31021670,41131620,수정구,복정동
31023510,41135510,분당구,분당동
31021610,41131600,수정구,산성동
31023740,41135655,분당구,삼평동
31022570,41133570,중원구,상대원1동
31022580,41133580,중원구,상대원2동
31022590,41133590,중원구,상대원3동
31023580,41135580,분당구,서현1동
31023590,41135590,분당구,서현2동
31022510,41133510,중원구,성남동
31023530,41135520,분당구,수내1동
31023540,41135530,분당구,수내2동
31023520,41135540,분당구,수내3동
31021580,41131570,수정구,수진1동
31021590,41131580,수정구,수진2동
31021660,41131650,수정구,시흥동
31021640,41131630,수정구,신촌동
31021510,41131510,수정구,신흥1동
31021520,41131520,수정구,신흥2동
31021530,41131530,수정구,신흥3동
31023620,41135620,분당구,야탑1동
31023640,41135630,분당구,야탑2동
31023630,41135640,분당구,야탑3동
31021620,41131610,수정구,양지동
31023680,41135680,분당구,운중동
31021680,41131625,수정구,위례동
31022550,41133550,중원구,은행1동
31022560,41133560,중원구,은행2동
31023600,41135600,분당구,이매1동
31023610,41135610,분당구,이매2동
31023770,41135550,분당구,정자1동
31023550,41135560,분당구,정자2동
31023560,41135570,분당구,정자3동
31023780,41135545,분당구,정자동
31022620,41133525,중원구,중앙동
31021540,41131540,수정구,태평1동
31021550,41131550,수정구,태평2동
31021560,41131560,수정구,태평3동
31021570,41131561,수정구,태평4동
31023750,41135650,분당구,판교동
31022600,41133660,중원구,하대원동
