month,admi_nm,new_corp_cnt
202412,고등동,1
202412,구미동,3
202412,금곡동,1
202412,백현동,3
202412,삼평동,3
202412,상대원3동,1
202412,서현1동,2
202412,성남동,1
202412,수내1동,2
202412,시흥동,1
202412,야탑2동,1
202412,운중동,3
202412,위례동,3
202412,이매1동,1
202412,정자1동,4
202412,정자동,1
202412,중앙동,1
202412,판교동,2
202501,고등동,3
202501,구미1동,3
202501,구미동,4
202501,금광2동,2
202501,도촌동,4
202501,백현동,3
202501,복정동,5
202501,분당동,1
202501,삼평동,10
202501,상대원1동,10
202501,상대원2동,1
202501,서현1동,14
202501,서현2동,1
202501,성남동,3
202501,수내1동,2
202501,수내2동,1
202501,수진1동,1
202501,수진2동,1
202501,시흥동,1
202501,신흥2동,1
202501,야탑1동,7
202501,야탑2동,2
202501,야탑3동,3
202501,운중동,4
202501,위례동,4
202501,이매1동,7
202501,이매2동,1
202501,정자1동,10
202501,정자3동,1
202501,정자동,2
202501,태평1동,2
202501,태평2동,1
202501,판교동,1
202501,하대원동,3
202502,고등동,4
202502,구미1동,4
202502,금곡동,2
202502,단대동,1
202502,도촌동,4
202502,백현동,5
202502,복정동,1
202502,산성동,1
202502,삼평동,17
202502,상대원1동,7
202502,상대원2동,1
202502,서현1동,8
202502,성남동,5
202502,수내1동,9
202502,수내2동,1
202502,수내3동,1
202502,수진1동,2
202502,수진2동,1
202502,시흥동,7
202502,신촌동,1
202502,야탑1동,5
202502,야탑3동,4
202502,운중동,8
202502,위례동,8
202502,은행2동,1
202502,이매1동,3
202502,이매2동,1
202502,정자1동,9
202502,정자동,1
202502,중앙동,1
202502,태평1동,2
202502,판교동,1
202502,하대원동,1
202503,고등동,2
202503,구미1동,3
202503,구미동,1
202503,금곡동,2
202503,도촌동,3
202503,백현동,4
202503,삼평동,9
202503,상대원1동,4
202503,상대원2동,1
202503,서현1동,10
202503,성남동,3
202503,수내1동,1
202503,수진2동,1
202503,시흥동,3
202503,신촌동,1
202503,신흥3동,1
202503,야탑1동,5
202503,야탑2동,1
202503,야탑3동,2
202503,양지동,1
202503,운중동,2
202503,위례동,4
202503,은행2동,1
202503,정자1동,1
202503,태평1동,1
202503,판교동,1
202504,고등동,3
202504,구미1동,1
202504,구미동,1
202504,백현동,2
202504,삼평동,10
202504,상대원1동,9
202504,상대원2동,1
202504,서현1동,8
202504,서현2동,1
202504,성남동,2
202504,수내1동,3
202504,수진1동,2
202504,수진2동,1
202504,신흥1동,1
202504,신흥3동,1
202504,야탑1동,3
202504,야탑2동,1
202504,야탑3동,1
202504,운중동,4
202504,위례동,3
202504,이매1동,1
202504,정자1동,2
202504,정자2동,1
202504,정자3동,1
202504,태평1동,1
202504,판교동,1
202504,하대원동,1
202505,고등동,1
202505,구미1동,1
202505,구미동,1
202505,금곡동,2
202505,금광1동,1
202505,도촌동,2
202505,백현동,2
202505,분당동,3
202505,삼평동,6
202505,상대원1동,2
202505,서현1동,8
202505,서현2동,1
202505,성남동,2
202505,수내1동,3
202505,수진2동,1
202505,시흥동,3
202505,야탑1동,3
202505,야탑2동,1
202505,야탑3동,1
202505,운중동,3
202505,위례동,1
202505,정자1동,5
202505,정자동,1
202505,태평1동,1
202505,판교동,1
202505,하대원동,2
202506,구미1동,2
202506,구미동,3
202506,금곡동,2
202506,금광2동,1
202506,도촌동,3
202506,백현동,7
202506,복정동,4
202506,분당동,1
202506,삼평동,8
202506,상대원1동,9
202506,상대원2동,2
202506,서현1동,13
202506,서현2동,2
202506,성남동,7
202506,수내1동,5
202506,수내3동,2
202506,시흥동,1
202506,신흥3동,1
202506,야탑1동,13
202506,운중동,6
202506,위례동,5
202506,이매1동,2
202506,이매2동,1
202506,정자1동,8
202506,태평1동,1
202506,태평3동,1
202506,판교동,1
202507,고등동,4
202507,구미1동,6
202507,구미동,2
202507,금곡동,3
202507,금광2동,2
202507,단대동,1
202507,도촌동,3
202507,백현동,5
202507,복정동,4
202507,삼평동,9
202507,상대원1동,7
202507,서현1동,19
202507,서현2동,1
202507,성남동,10
202507,수내1동,1
202507,수내3동,1
202507,수진2동,1
202507,시흥동,8
202507,신흥2동,1
202507,야탑1동,5
202507,야탑2동,1
202507,야탑3동,3
202507,운중동,7
202507,위례동,8
202507,은행2동,1
202507,정자1동,9
202507,정자동,1
202507,판교동,4
202507,하대원동,2
202508,고등동,2
202508,구미1동,4
202508,구미동,9
202508,금곡동,6
202508,금광2동,1
202508,도촌동,1
202508,백현동,3
202508,복정동,5
202508,분당동,1
202508,삼평동,15
202508,상대원1동,12
202508,서현1동,17
202508,서현2동,1
202508,성남동,4
202508,수내1동,5
202508,수진1동,1
202508,시흥동,7
202508,신촌동,1
202508,신흥3동,1
202508,야탑1동,7
202508,야탑2동,1
202508,야탑3동,2
202508,양지동,1
202508,운중동,3
202508,위례동,12
202508,은행1동,1
202508,은행2동,1
202508,이매1동,9
202508,이매2동,1
202508,정자1동,9
202508,정자3동,1
202508,정자동,3
202508,태평3동,1
202508,판교동,3
202509,고등동,2
202509,구미1동,2
202509,구미동,3
202509,금곡동,5
202509,도촌동,2
202509,백현동,8
202509,복정동,4
202509,산성동,1
202509,삼평동,18
202509,상대원1동,12
202509,서현1동,14
202509,서현2동,2
202509,성남동,7
202509,수내1동,8
202509,수진2동,1
202509,시흥동,10
202509,신흥1동,1
202509,신흥2동,2
202509,신흥3동,1
202509,야탑1동,7
202509,야탑2동,2
202509,야탑3동,1
202509,운중동,11
202509,위례동,5
202509,이매1동,1
202509,정자1동,11
202509,정자2동,1
202509,정자3동,1
202509,정자동,3
202509,태평1동,2
202509,판교동,1
202510,고등동,6
202510,구미동,3
202510,금곡동,2
202510,도촌동,2
202510,백현동,7
202510,복정동,2
202510,삼평동,11
202510,상대원1동,8
202510,상대원2동,1
202510,서현1동,5
202510,서현2동,1
202510,수내1동,4
202510,수내2동,1
202510,수진1동,1
202510,수진2동,2
202510,시흥동,7
202510,신흥1동,1
202510,신흥2동,1
202510,야탑3동,4
202510,운중동,5
202510,위례동,4
202510,이매1동,1
202510,정자1동,4
202510,정자3동,1
202510,정자동,1
202510,중앙동,1
202510,태평3동,1
202510,판교동,2
202510,하대원동,1
202511,고등동,4
202511,구미1동,9
202511,구미동,4
202511,금곡동,1
202511,금광2동,1
202511,백현동,5
202511,복정동,1
202511,분당동,1
202511,삼평동,22
202511,상대원1동,11
202511,서현1동,9
202511,성남동,7
202511,수내1동,7
202511,수내2동,2
202511,수진2동,1
202511,시흥동,7
202511,신촌동,2
202511,신흥1동,1
202511,신흥2동,1
202511,신흥3동,1
202511,야탑1동,5
202511,야탑3동,3
202511,운중동,8
202511,위례동,7
202511,은행1동,1
202511,이매1동,2
202511,정자1동,8
202511,정자동,3
202511,태평2동,1
202511,판교동,3
202512,고등동,3
202512,구미1동,2
202512,구미동,4
202512,금곡동,5
202512,단대동,1
202512,도촌동,1
202512,백현동,6
202512,복정동,2
202512,삼평동,17
202512,상대원1동,9
202512,상대원2동,1
202512,서현1동,11
202512,서현2동,1
202512,성남동,6
202512,수내1동,1
202512,수내2동,1
202512,수내3동,1
202512,수진2동,2
202512,시흥동,6
202512,신촌동,3
202512,신흥2동,3
202512,야탑1동,6
202512,야탑2동,2
202512,야탑3동,4
202512,운중동,3
202512,위례동,7
202512,이매1동,1
202512,정자1동,11
202512,정자2동,2
202512,정자동,2
202512,태평1동,1
202512,판교동,5
