GU_NM,ADM_NM,score,n_cells,rank,kr_title,label
분당구,수내1동,1.0,14,1,B2B기업활동,수내1동
수정구,신흥3동,0.9612032659288843,5,2,B2B기업활동,신흥3동
수정구,태평4동,0.9431611805337925,5,3,B2B기업활동,태평4동
분당구,야탑1동,0.8630267289942255,16,4,B2B기업활동,야탑1동
수정구,태평3동,0.7251393565038079,4,5,B2B기업활동,태평3동
분당구,정자1동,0.7036987105425986,18,6,B2B기업활동,정자1동
수정구,신흥1동,0.6404342531307063,4,7,B2B기업활동,신흥1동
중원구,성남동,0.4750741802404046,28,8,B2B기업활동,성남동
중원구,상대원3동,0.4555601888203385,5,9,B2B기업활동,상대원3동
수정구,수진1동,0.44288282387021527,5,10,B2B기업활동,수진1동
분당구,서현2동,0.426322169350031,11,11,B2B기업활동,서현2동
분당구,야탑2동,0.3801955310532749,9,12,B2B기업활동,야탑2동
중원구,금광1동,0.3557790853968408,8,13,B2B기업활동,금광1동
수정구,태평2동,0.3465257969995541,7,14,B2B기업활동,태평2동
분당구,정자동,0.3205098765780579,16,15,B2B기업활동,정자동
