공사명,대지위치,지상층수,준공예정일,status,penalty,GU_NM,ADM_NM
"판교특급호텔 신축현장
(베스트웨스턴 판교 특급호텔 신축공사)", 분당구 삼평동 654,17,2025-11-30,completed,0.75,분당구,삼평동
판교 JLR 신축공사, 분당구 금곡동 338-1 외5필지,3,2026-04-30,imminent,0.65,분당구,금곡동
SG 판교사옥 신축공사 ,분당구 삼평동 649,11,2026-02-28,completed,0.85,분당구,삼평동
SG 판교사옥 신축공사 ,분당구 삼평동 650,11,2026-02-28,completed,0.85,분당구,삼평동
동원 성남복합공장,중원구 상대원동 369-3외 1필지,8,2026-03-31,completed,1.0,중원구,상대원동
SW 드림타운,수정구 시흥동 판교 제2테크노벨리 산업시설용지 E1-1블록 외 2필지 (시흥동 324),6,-,ongoing,0.4,수정구,시흥동
운중동337-7 공동주택,분당구 운중동 337-7 외6필지,4,2025-04-04,completed,1.0,분당구,운중동
수정구 판교제2테크노밸리 E11-1,수정구 판교제2테크노밸리 E11-1,10,2026-01-31,completed,0.85,수정구,
성남동 2203 외 2필지 업무시설 신축,중원구 성남동 2203 외 2필지,14,2025-10-31,completed,0.85,중원구,성남동
신흥동2544업무시설(오피스텔) 신축공사,수정구 신흥동 2544,9,2025-06-31,ongoing,0.4,수정구,신흥동
분당N타워 업무시설 신축공사,분당구 정자동 23-2,9,2026-02-28,completed,1.0,분당구,정자동
 수정구 고등동 597-1,수정구 고등동 597-1,5,2024-05-31,completed,1.0,수정구,고등동
구미동 192-3번지 업무시설,분당구 구미동 192-3,10,2027-04-30,ongoing,0.34,분당구,구미동
 수진동 4619-11 오피스텔 신축공사, 수정구 수진동 4619-11 외1필지,9,2025-12-30,completed,1.0,수정구,수진동
성남동 오피스텔 신축공사,중원구 성남동 2314 외7필지,13,2028-07-31,ongoing,0.34,중원구,성남동
-,경기도 성남시 중원구 성남동 4134 외1필지,14,2027-06-30,ongoing,0.34,중원구,성남동
"판교 641 PSM타워,NC타워 신축공사",분당구 삼평동 641,14,2027-10-24,ongoing,0.34,분당구,삼평동
대장동 단독주택 신축공사,분당구 대장동 1-18,2,2025-10-31,completed,1.0,분당구,대장동
디메드공장(R&D CENTER) 신축공사,중원구 상대원동 441-7 외1필지,6,2026-03-31,completed,1.0,중원구,상대원동
마이다스아이티 업무시설, 분당구 정자동 163,20,2027-06-30,ongoing,0.30000000000000004,분당구,정자동
성남동 오피스텔 신축공사,중원구 성남동 2486,14,2028-04-30,ongoing,0.34,중원구,성남동
판교 제2테크노밸리 D2-2, 수정구 금토동 판교 제2테크노밸리 지원4 D2-2BL(시흥동 348),9,2026-07-01,imminent,0.65,수정구,금토동
복정변전소,수정구 복정동 7 외6필지,3,2026-03-30,completed,1.0,수정구,복정동
업무시설, 중원구 하대원동 104-1 외1필지,10,2025-12-31,completed,0.85,중원구,하대원동
154kV 산성변전소,수정구 산성동 2-1,3,2026-05-30,imminent,0.65,수정구,산성동
공동주택(임대형기숙사),중원구 은행동 1578-2 외1필지,8,2025-12-31,completed,1.0,중원구,은행동
-,경기도 성남시 중원구 상대원동 138-10,7,2028-05-07,ongoing,0.4,중원구,상대원동
상대원동 오피스텔 및 다세대주택 신축공사, 중원구 상대원동 2999-5 외2필지,7,2026-02-15,completed,1.0,중원구,상대원동
 성남금토 공공주택지구 상업 1-1BL 업무시설,수정구 금토동 성남금토 공공주택지구 상업 1-1,9,2027-12-24,ongoing,0.4,수정구,금토동
"성남금토 공공주택지구 상업 1-2,3BL업무시설"," 수정구 금토동 성남금토 공공주택지구 상업 1-2,3",9,2027-12-24,ongoing,0.4,수정구,금토동
"성남금토 공공주택지구 상업 1-7,8BL 업무시설"," 수정구 금토동 성남금토 공공주택지구 상업 1-7,8",9,2027-12-24,ongoing,0.4,수정구,금토동
 성남금토 공공주택지구 상업 1-9BL업무시설, 수정구 금토동 성남금토 공공주택지구 상업 1-9,9,2027-12-24,ongoing,0.4,수정구,금토동
"성남금토 공공주택지구 상업 1-10,11BL 업무시설","수정구 금토동 성남금토 공공주택지구 상업 1-10,11",9,2027-12-24,ongoing,0.4,수정구,금토동
호스트센터,"수정구 시흥동 353, 판교제2테크노밸리 P1-1",7,2026-08-07,ongoing,0.4,수정구,시흥동
경기도 성남시 수정구 신흥동 859-1 근린생활시설,수정구 신흥동 859-1,8,2026-08-30,ongoing,0.4,수정구,신흥동
"LG복지재단 청년자립지원센터
신축공사",중원구 여수동 203,10,2027-11-30,ongoing,0.34,중원구,여수동
성남산후조리원,경기도 성남시 수정구 태평동 3495-1 외3필지,12,2027-08-01,ongoing,0.34,수정구,태평동
위례 지원3부지 건립사업,경기도 성남시 수정구 창곡동 위례택지개발지구 도시지원시설용지 3,16,2028-08-01,ongoing,0.30000000000000004,수정구,창곡동
성남금토 공공주택지구 상업7-3BL,성남시 수정구 금토동 성남금토 공공주택지구 자족 7-3,10,2028-10-31,ongoing,0.34,수정구,금토동
