target_GU_NM,target_ADM_NM,n_routes,total_demand_Ds,avg_drone_time_min,avg_moto_time_min,avg_time_saving_min,pct_drone_faster,airspace_approval_pct,total_co2_saving_g
분당구,서현1동,8,3.702921361357356,4.777625895091312,11.200978107435667,6.423352212344356,100.0,100.0,1724.291506386066
분당구,운중동,8,2.74921486625886,4.663414665597249,10.296984072485309,5.63356940688806,100.0,100.0,1345.2017115492356
분당구,백현동,4,1.8150545008555317,4.932404117700485,12.076811953169694,7.1444078354692095,100.0,100.0,781.320145113539
분당구,수내1동,2,1.6597974528332526,4.464598792070875,6.69698303047212,2.2323842384012447,100.0,100.0,289.8008154502681
분당구,정자3동,5,1.489298366366524,4.5741872454043575,9.288370989376187,4.714183743971829,100.0,100.0,716.1767248760231
분당구,야탑1동,2,1.4393707969374918,4.652301798899499,12.958333333333332,8.306031534433835,100.0,100.0,323.2521100280598
분당구,정자1동,2,1.322024086870339,5.3390340100628535,14.583333333333334,9.24429932327048,100.0,100.0,521.0069630278588
분당구,판교동,4,1.192652888183675,5.127346194838536,10.98197764849109,5.854631453652555,100.0,100.0,974.1150331342245
분당구,야탑3동,4,1.1597061684264167,4.787367856508047,12.875,8.087632143491952,100.0,100.0,727.2747903213179
중원구,도촌동,4,1.1415754147697803,5.180269020691744,14.783333333333333,9.603064312641589,100.0,100.0,1181.404784601616
수정구,신흥2동,3,1.071336748674516,4.5147408730867005,12.445435955146587,7.930695082059888,100.0,100.0,358.17915535365034
분당구,금곡동,3,1.0058476899685098,4.797928501827486,11.882165412061871,7.0842369102343845,100.0,100.0,750.7668384104047
분당구,정자동,2,0.8600287496671702,4.983554876439566,10.372688582515256,5.38913370607569,100.0,100.0,380.04512870474923
분당구,서현2동,2,0.837949860753004,4.526124990398634,13.950000000000001,9.423875009601367,100.0,100.0,534.498772208625
분당구,구미1동,2,0.6837185469056194,5.3020213974878665,14.366666666666667,9.0646452691788,100.0,100.0,570.811167489336
수정구,태평4동,1,0.6775996391710029,5.231993120674021,21.23333333333333,16.001340212659308,100.0,100.0,240.15895260514122
중원구,중앙동,2,0.605767357852433,5.429224464431995,19.491666666666667,14.06244220223467,100.0,100.0,407.82237276661965
중원구,성남동,1,0.5129422940779669,6.04570365794082,24.33333333333333,18.28762967539251,100.0,100.0,309.1461953803733
분당구,분당동,2,0.5109571865642516,5.069235582433703,13.883333333333335,8.81409775089963,100.0,100.0,529.6790242939885
수정구,복정동,2,0.4931398429276882,5.620627503497434,18.727190012393283,13.106562508895848,100.0,100.0,696.407444374542
수정구,신흥1동,1,0.4619442280384485,4.974321647821844,16.65,11.675678352178155,100.0,100.0,132.39378440549956
수정구,시흥동,2,0.4585238724026648,4.852894219134066,7.815043609503042,2.9621493903689764,100.0,100.0,409.9405656322482
분당구,삼평동,1,0.458371381575248,5.094332952083387,8.51024399237513,3.4159110402917436,100.0,100.0,242.32121079404342
수정구,수진1동,1,0.3742992232065798,5.5821010044619115,20.133333333333333,14.551232328871421,100.0,100.0,217.99837443694622
분당구,야탑2동,1,0.3576010326362412,4.8020141427586385,13.533333333333331,8.731319190574693,100.0,100.0,227.1427213347293
수정구,태평2동,1,0.3500239964444031,4.903299730343575,17.733333333333334,12.83003360298976,100.0,100.0,166.2437677821835
수정구,태평1동,1,0.327805441111458,5.806325166483458,22.05,16.243674833516543,100.0,100.0,266.6918400330766
분당구,수내3동,1,0.2948497039907023,5.418026443084377,14.766666666666667,9.34864022358229,100.0,100.0,346.18014577401595
수정구,단대동,1,0.2843489320738011,5.9640705346422775,25.5,19.53592946535772,100.0,100.0,362.265340816013
분당구,이매1동,1,0.2805467112355271,5.024022121217022,8.307790492303903,3.2837683710868815,100.0,100.0,231.4440215888278
분당구,정자2동,1,0.2576258864556208,5.110584969722682,13.466666666666669,8.356081696943987,100.0,100.0,270.337599374557
분당구,수내2동,2,0.2518311538420302,4.335634452942051,6.325642206885114,1.9900077539430627,100.0,100.0,249.8988686194606
