ADM_NM,GU_NM,CSV_ADMI_CD,avg_Ra,max_Ra,median_Ra,robot_possible_cells,robot_good_cells,total_cells,robot_possible_ratio,robot_good_ratio,avg_n_crossings,robot_access_note
수내2동,분당구,41135530,0.8181097280947548,0.8458079475525748,0.8181097280947548,2,2,2,1.0,1.0,2.0,aggregated from H3 cells
정자동,분당구,41135545,0.8168795935752856,0.8639397468822663,0.8168795935752856,2,2,2,1.0,1.0,3.0,aggregated from H3 cells
수내1동,분당구,41135520,0.8157888961770994,0.8727123907986083,0.8157888961770994,2,2,2,1.0,1.0,1.0,aggregated from H3 cells
야탑1동,분당구,41135620,0.7844290659577575,0.8421533506693953,0.7844290659577575,2,2,2,1.0,1.0,7.0,aggregated from H3 cells
정자1동,분당구,41135550,0.6485419732542725,0.8738652162585279,0.6485419732542725,2,1,2,1.0,0.5,1.5,aggregated from H3 cells
백현동,분당구,41135657,0.6333417969528432,0.8292906584066789,0.690924061531977,5,4,5,1.0,0.8,2.4,aggregated from H3 cells
야탑2동,분당구,41135630,0.5629279657103696,0.5629279657103696,0.5629279657103696,1,1,1,1.0,1.0,0.0,aggregated from H3 cells
태평1동,수정구,41131540,0.5092793941828866,0.7133333339040062,0.4258826719332123,3,1,3,1.0,0.3333333333333333,0.3333333333333333,aggregated from H3 cells
정자2동,분당구,41135560,0.4775055681197722,0.4775055681197722,0.4775055681197722,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
수진2동,수정구,41131580,0.4726350505432668,0.4726350505432668,0.4726350505432668,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
이매2동,분당구,41135610,0.4655288470266178,0.4655288470266178,0.4655288470266178,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
신흥1동,수정구,41131510,0.4549997055210363,0.4549997055210363,0.4549997055210363,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
위례동,수정구,41131625,0.4492621532364066,0.7350112925518532,0.40501109808723945,6,3,8,0.75,0.375,0.875,aggregated from H3 cells
삼평동,분당구,41135655,0.4378264538840164,0.8772697848574864,0.36575227161376556,5,1,6,0.8333333333333334,0.16666666666666666,2.0,aggregated from H3 cells
정자3동,분당구,41135570,0.4324475716720029,0.7200608562100377,0.3448580834693706,5,1,5,1.0,0.2,0.4,aggregated from H3 cells
복정동,수정구,41131620,0.4315002435996854,0.7343071910063773,0.3466524684501591,6,2,7,0.8571428571428571,0.2857142857142857,1.1428571428571428,aggregated from H3 cells
이매1동,분당구,41135600,0.422986646822547,0.8339168558995829,0.3187206041448597,2,1,4,0.5,0.25,0.75,aggregated from H3 cells
수진1동,수정구,41131570,0.4170368543091858,0.4170368543091858,0.4170368543091858,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
판교동,분당구,41135650,0.41055809529114484,0.6979215159235126,0.3136044117700787,5,3,9,0.5555555555555556,0.3333333333333333,1.0,aggregated from H3 cells
태평2동,수정구,41131550,0.4036514905617211,0.4036514905617211,0.4036514905617211,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
단대동,수정구,41131590,0.3776163040185309,0.3776163040185309,0.3776163040185309,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
상대원3동,중원구,41133590,0.3760435121194869,0.3760435121194869,0.3760435121194869,1,0,1,1.0,0.0,0.0,aggregated from H3 cells
수내3동,분당구,41135540,0.36585527043899724,0.39740109327284306,0.36585527043899724,2,0,2,1.0,0.0,0.0,aggregated from H3 cells
서현2동,분당구,41135590,0.36165399413088617,0.39854331678775085,0.36165399413088617,2,0,2,1.0,0.0,0.0,aggregated from H3 cells
야탑3동,분당구,41135640,0.3614985506722594,0.676559628162966,0.34475738066468464,8,1,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,aggregated from H3 cells
은행2동,중원구,41133560,0.35574059260361285,0.39825837516936957,0.3593504800349887,6,0,6,1.0,0.0,0.0,aggregated from H3 cells
구미1동,분당구,41135665,0.355432399101949,0.8520547077478857,0.29952232041806526,4,2,9,0.4444444444444444,0.2222222222222222,0.5555555555555556,aggregated from H3 cells
금광2동,중원구,41133540,0.349270544146487,0.3767071256053973,0.352899610689103,3,0,3,1.0,0.0,0.0,aggregated from H3 cells
서현1동,분당구,41135580,0.3485636450745893,0.7097947267368776,0.3388354925356374,12,1,16,0.75,0.0625,0.125,aggregated from H3 cells
중앙동,중원구,41133525,0.3457868630288662,0.3974268931023895,0.3457868630288662,1,0,2,0.5,0.0,0.0,aggregated from H3 cells
분당동,분당구,41135510,0.3374219814662805,0.6387563339003304,0.3544861555243206,5,1,6,0.8333333333333334,0.16666666666666666,0.16666666666666666,aggregated from H3 cells
금곡동,분당구,41135662,0.3327265531991429,0.5830664368007299,0.336339220126092,7,1,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,aggregated from H3 cells
성남동,중원구,41133510,0.328637958454346,0.4239617296733801,0.32546922815268065,2,0,4,0.5,0.0,0.0,aggregated from H3 cells
구미동,분당구,41135670,0.31972930356448603,0.4762433177064886,0.3287051615573044,3,0,5,0.6,0.0,0.0,aggregated from H3 cells
도촌동,중원구,41133670,0.30048159654180745,0.49860200098002705,0.31628827933289094,11,0,19,0.5789473684210527,0.0,0.0,aggregated from H3 cells
태평4동,수정구,41131561,0.2976795907132585,0.2976795907132585,0.2976795907132585,0,0,1,0.0,0.0,0.0,aggregated from H3 cells
상대원1동,중원구,41133570,0.28975913585655044,0.3787007721429335,0.26994901834960294,6,0,14,0.42857142857142855,0.0,0.0,aggregated from H3 cells
양지동,수정구,41131610,0.2835171642990643,0.3548261280363172,0.25864502564645137,1,0,3,0.3333333333333333,0.0,0.0,aggregated from H3 cells
고등동,수정구,41131640,0.26334580902997373,0.5746825841220395,0.32154841666842104,15,1,26,0.5769230769230769,0.038461538461538464,0.038461538461538464,aggregated from H3 cells
신흥2동,수정구,41131520,0.26272459405940246,0.3135066174135429,0.28071298355969443,1,0,3,0.3333333333333333,0.0,0.0,aggregated from H3 cells
시흥동,수정구,41131650,0.2405709321680073,0.6090766799635939,0.2653289114134152,9,1,25,0.36,0.04,0.2,aggregated from H3 cells
신촌동,수정구,41131630,0.23957034089762008,0.38594264123625144,0.2903245531532785,4,0,9,0.4444444444444444,0.0,0.0,aggregated from H3 cells
운중동,분당구,41135680,0.22575097950701023,0.5682074450855743,0.3116837829473331,18,1,35,0.5142857142857142,0.02857142857142857,0.08571428571428572,aggregated from H3 cells
하대원동,중원구,41133660,0.21772927311412796,0.37564485524305385,0.22357308033597872,1,0,5,0.2,0.0,0.0,aggregated from H3 cells
신흥3동,수정구,41131530,,,,0,0,0,,,,no H3 cells — boundary only
태평3동,수정구,41131560,,,,0,0,0,,,,no H3 cells — boundary only
산성동,수정구,41131600,,,,0,0,0,,,,no H3 cells — boundary only
금광1동,중원구,41133530,,,,0,0,0,,,,no H3 cells — boundary only
은행1동,중원구,41133550,,,,0,0,0,,,,no H3 cells — boundary only
상대원2동,중원구,41133580,,,,0,0,0,,,,no H3 cells — boundary only
