version,rank,h3_index,lat,lon,dong,gu,Ds_v3,Ra,composite,zone,coverage_pct,score_construction,score_protected
v2,1,8930e15312bffff,37.385757,127.15518,서현1동,분당구,0.68,0.5865,0.088,,6.6,1.0,1.0
v2,2,8930e153487ffff,37.400176,127.109217,삼평동,분당구,0.6423,0.5534,0.083,,12.5,1.0,1.0
v2,3,8930e152123ffff,37.435728,127.177799,상대원1동,중원구,0.5002,0.4456,0.0668,,18.7,1.0,1.0
v2,4,8930e1530d3ffff,37.381908,127.118159,수내1동,분당구,0.4597,0.6603,0.099,,24.4,1.0,1.0
v2,5,8930e1cd6c3ffff,37.466865,127.146325,위례동,수정구,0.4708,0.4496,0.0674,,29.9,1.0,1.0
v2,6,8930e0249d7ffff,37.343447,127.117536,구미동,분당구,0.3798,0.7436,0.5562,,36.4,1.0,1.0
v2,7,8930e026b33ffff,37.367602,127.096001,금곡동,분당구,0.3242,0.5685,0.0853,,43.0,1.0,1.0
v2,8,8930e15302fffff,37.379265,127.1389,서현2동,분당구,0.1274,0.4447,0.0667,,46.2,1.0,1.0
v2,9,8930e15244bffff,37.430359,127.130114,성남동,중원구,0.6301,0.5632,0.0845,,49.5,1.0,1.0
v2,10,8930e1504d7ffff,37.398142,127.158854,야탑3동,분당구,0.2482,0.5509,0.0826,,54.8,1.0,1.0
v3,1,8930e153173ffff,37.383593,127.149752,서현1동,분당구,0.68,0.7063,0.1059,로봇전용,6.1,1.0,0.6
v3,2,8930e024dbbffff,37.358891,127.108362,정자1동,분당구,0.5904,0.7831,0.2973,Hybrid,10.1,1.0,0.6
v3,3,8930e026b53ffff,37.360449,127.084929,구미1동,분당구,0.2718,0.5542,0.4911,Hybrid,16.2,1.0,0.6
v3,4,8930e024d53ffff,37.348256,127.10223,금곡동,분당구,0.3242,0.4995,0.3556,Hybrid,20.4,0.7,0.6
v3,5,8930e15346fffff,37.384733,127.118397,수내1동,분당구,0.4597,0.7687,0.1153,로봇전용,25.8,1.0,0.6
v3,6,8930e152cc7ffff,37.443548,127.183717,상대원1동,중원구,0.5002,0.5445,0.0817,일반,32.0,0.5,0.6
v3,7,8930e1cd6d3ffff,37.468607,127.143848,위례동,수정구,0.4708,0.6852,0.1028,로봇전용,37.2,1.0,0.6
v3,8,8930e15326bffff,37.351678,127.131326,정자3동,분당구,0.1556,0.5436,0.4895,Hybrid,39.5,1.0,0.6
v3,9,8930e153417ffff,37.395609,127.111453,백현동,분당구,0.2946,0.6054,0.0908,로봇전용,44.2,1.0,0.6
v3,10,8930e1c9b2fffff,37.41124,127.123255,야탑1동,분당구,0.4302,0.7093,0.1064,로봇전용,47.1,1.0,0.6
