csv_file,rows,columns,relative_path
T00_dashboard_inventory.csv,10,4,processed/tableau/dashboard/T00_dashboard_inventory.csv
T00_field_dictionary.csv,278,4,processed/tableau/dashboard/T00_field_dictionary.csv
T00_html_constant_audit.csv,13,3,processed/tableau/dashboard/T00_html_constant_audit.csv
T01_grid_cells.csv,1947,51,processed/tableau/dashboard/T01_grid_cells.csv
T02_dong_summary.csv,50,21,processed/tableau/dashboard/T02_dong_summary.csv
T03_hourly_demand.csv,10,5,processed/tableau/dashboard/T03_hourly_demand.csv
T04_mode_comparison_long.csv,18,5,processed/tableau/dashboard/T04_mode_comparison_long.csv
T04_mode_comparison_wide.csv,9,5,processed/tableau/dashboard/T04_mode_comparison_wide.csv
T05_mode_radar_long.csv,12,8,processed/tableau/dashboard/T05_mode_radar_long.csv
T06_hubs.csv,4,21,processed/tableau/dashboard/T06_hubs.csv
T07_vertiport_candidates_full.csv,1126,18,processed/tableau/dashboard/T07_vertiport_candidates_full.csv
T07_vertiports_dashboard.csv,570,12,processed/tableau/dashboard/T07_vertiports_dashboard.csv
T08_demand_indices_long.csv,300,5,processed/tableau/dashboard/T08_demand_indices_long.csv
T08_demand_indices_wide.csv,50,11,processed/tableau/dashboard/T08_demand_indices_wide.csv
T09_esg_kpi.csv,4,4,processed/tableau/dashboard/T09_esg_kpi.csv
T09_esg_scenarios.csv,6,15,processed/tableau/dashboard/T09_esg_scenarios.csv
T10_weather.csv,721,15,processed/tableau/dashboard/T10_weather.csv
T10_weather_kpi.csv,5,3,processed/tableau/dashboard/T10_weather_kpi.csv
T11_welfare_by_dong.csv,55,8,processed/tableau/dashboard/T11_welfare_by_dong.csv
T11_welfare_facilities.csv,846,7,processed/tableau/dashboard/T11_welfare_facilities.csv
T12_poi_layers.csv,1528,9,processed/tableau/dashboard/T12_poi_layers.csv
T13_layer_scenario_summary.csv,256,21,processed/tableau/dashboard/T13_layer_scenario_summary.csv
T14_layer_scenario_hubs.csv,1824,17,processed/tableau/dashboard/T14_layer_scenario_hubs.csv
T15_layer_scenario_cell_scores.csv,62304,10,processed/tableau/dashboard/T15_layer_scenario_cell_scores.csv
